ID,Angebotspreis,"Regulärer Preis"
22322,,"40,49"
22324,,"68,99"
22326,,"112,49"
22330,,
22332,,"8,99"
22334,,"13,99"
22338,,
22340,,"7,99"
22342,,"15,99"
22344,,"36,99"
22349,,"12,99"
22353,,
22355,,"9,49"
22357,,"14,99"
22361,,
22363,,"8,99"
22365,,"18,49"
22367,,"29,49"
22369,,"51,49"
22371,,"97,49"
22373,,"194,99"
22378,,
22380,,"5,99"
22382,,"7,99"
22384,,"21,49"
22388,,"6,99"
22391,,"75,99"
22395,,
22397,,"9,49"
22399,,"18,99"
22401,,"31,99"
22403,,"125,99"
22405,,"251,99"
22410,,
22412,,"7,49"
22414,,"10,49"
22416,,"22,99"
22418,,"148,49"
22422,,
22424,,"10,49"
22426,,"22,99"
22429,,"13,99"
22436,,
22438,,"7,49"
22440,,"13,99"
22442,,"20,99"
22444,,"63,49"
22446,,"114,99"
22452,,
22454,,"4,99"
22456,,"7,49"
22458,,"10,49"
22460,,"22,99"
22465,,
22467,,"7,99"
22469,,"8,99"
22471,,"13,49"
22473,,"21,99"
22478,,
22480,,"6,99"
22482,,"10,49"
22484,,"14,99"
22488,,
22490,,"7,99"
22492,,"21,99"
22494,,"44,99"
22497,,
22499,,"7,99"
22501,,"11,49"
22503,,"20,49"
22508,,
22510,,"5,99"
22512,,"7,99"
22514,,"11,49"
22516,,"37,49"
22521,,
22523,,"4,99"
22525,,"9,49"
22527,,"13,49"
22529,,"21,99"
22531,,"45,99"
22533,,"143,99"
22538,,
22540,,"11,49"
22542,,"21,99"
22544,,"51,99"
22548,,
22550,,"11,49"
22552,,"19,49"
22554,,"37,49"
22557,,
22559,,"5,49"
22561,,"10,49"
22566,,
22568,,"12,99"
22570,,"18,99"
22572,,"47,99"
22576,,
22578,,"10,49"
22580,,"17,49"
22584,,
22586,,"5,99"
22588,,"11,49"
22590,,"15,99"
22592,,"29,99"
22597,,"10,49"
22602,,
22604,,"6,99"
22606,,"10,99"
22608,,"17,99"
22610,,"30,99"
22616,,
22618,,"6,99"
22620,,"13,99"
22624,,
22626,,"6,49"
22628,,"10,99"
22630,,"45,99"
22632,,"79,49"
22638,,
22640,,"5,99"
22642,,"9,99"
22644,,"14,49"
22648,,
22650,,"9,49"
22652,,"13,49"
22656,,
22658,,"5,99"
22660,,"11,49"
22665,,
22667,,"7,99"
22669,,"13,49"
22673,,"6,99"
22678,,
22680,,"6,99"
22682,,"9,49"
22687,,
22689,,"6,49"
22691,,"8,99"
22695,,
22697,,"4,99"
22699,,"6,99"
22701,,"7,99"
22703,,"11,49"
22705,,"15,99"
22707,,"49,49"
22709,,"50,49"
22711,,"51,49"
22713,,"55,99"
22719,,
22721,,"0,49"
22723,,"10,49"
22727,,
22729,,"7,99"
22731,,"12,99"
22735,,
22737,,"10,49"
22739,,"12,99"
22741,,"16,99"
22743,,"48,99"
22745,,"60,49"
22747,,"79,99"
22751,,
22753,,"6,99"
22755,,"12,99"
22759,,
22761,,"7,99"
22763,,"11,49"
22765,,"40,49"
22768,,
22770,,"7,99"
22772,,"11,49"
22774,,"44,99"
22776,,"159,99"
22780,,"9,49"
22784,,"9,49"
22788,,"9,49"
22792,,"9,49"
22796,,"9,49"
22800,,"9,49"
22804,,"9,49"
22809,,
22811,,"10,49"
22813,,"18,49"
22815,,"51,49"
22820,,
22822,,"7,49"
22824,,"16,99"
22829,,
22831,,"6,99"
22833,,"7,99"
22835,,"11,49"
22837,,"17,49"
22839,,"36,49"
22841,,"52,99"
22843,,"189,99"
22848,,
22850,,"6,99"
22852,,"25,99"
22857,,
22859,,"6,99"
22861,,"31,99"
22864,,"19,49"
22867,,"7,99"
22871,,"9,49"
22875,,
22877,,"6,99"
22879,,"11,49"
22881,,"22,99"
22883,,
22885,,"10,49"
22887,,"15,99"
22892,,"9,99"
22896,,
22898,,"7,99"
22900,,"30,99"
22902,,"84,99"
22905,,
22907,,"8,99"
22909,,"10,99"
22911,,"13,49"
22913,,"75,99"
22915,,"80,49"
22917,,"80,49"
22920,,"9,49"
22924,,
22926,,"8,99"
22928,,"17,49"
22933,,
22935,,"10,49"
22937,,"17,49"
22939,,"43,49"
22941,,"102,49"
22946,,
22948,,"6,99"
22950,,"10,99"
22952,,"45,99"
22954,,"79,49"
22958,,
22960,,"4,49"
22962,,"6,49"
22964,,"10,99"
22966,,"45,99"
22968,,"79,49"
22972,,
22974,,"4,49"
22976,,"6,99"
22978,,"9,49"
22980,,"17,49"
22982,,"80,49"
22987,,
22989,,"23,99"
22991,,"0,49"
22993,,"34,49"
22995,,"69,99"
22999,,
23001,,"17,49"
23003,,"20,49"
23008,,
23010,,"11,99"
23012,,"18,49"
23014,,"28,99"
23016,,"51,99"
23021,,
23023,,"12,99"
23025,,"21,49"
23027,,"42,99"
23029,,"69,99"
23031,,"118,49"
23036,,
23038,,"16,49"
23040,,"27,99"
23042,,"46,49"
23044,,"70,99"
23049,,
23051,,"19,49"
23053,,"32,49"
23055,,"45,49"
23060,,
23062,,"14,99"
23064,,"26,99"
23066,,"53,99"
23068,,"161,49"
23073,,
23075,,"26,99"
23077,,"59,49"
23082,,
23084,,"16,49"
23086,,"26,99"
23088,,"42,99"
23090,,"117,49"
23094,,"6,49"
23097,,"6,49"
23103,,
23105,,"10,49"
23107,,"17,49"
23112,,
23114,,"9,49"
23116,,"13,99"
23118,,"22,49"
23123,,
23125,,"7,99"
23127,,"12,99"
23129,,"19,49"
23131,,"33,49"
23136,,
23138,,"26,99"
23140,,"45,99"
23142,,"80,99"
23144,,"139,49"
23148,,
23150,,"8,99"
23152,,"10,99"
23154,,"20,99"
23156,,"102,99"
23160,,"5,49"
23164,,"9,49"
23168,,"9,49"
23172,,"9,49"
23176,,"9,49"
23179,,
23181,,"19,49"
23183,,"32,49"
23185,,"53,99"
23189,,
23191,,"19,49"
23193,,"35,49"
23195,,"48,49"
23198,,
23200,,"7,99"
23202,,"12,99"
23204,,"32,99"
23209,,
23211,,"7,99"
23213,,"12,99"
23215,,"19,49"
23217,,"33,49"
23219,,
23221,,"12,99"
23223,,"22,49"
23225,,"74,49"
23231,,
23233,,"12,99"
23235,,"39,99"
23238,,
23240,,"4,99"
23242,,"10,49"
23247,,
23249,,"3,99"
23251,,"6,99"
23253,,"10,99"
23258,,
23260,,"3,99"
23262,,"6,99"
23264,,"10,99"
23266,,"74,99"
23271,,
23273,,"6,99"
23275,,"10,99"
23277,,"74,99"
23281,,"3,49"
23284,,
23286,,"4,49"
23288,,"6,49"
23290,,"9,49"
23294,,
23296,,"4,49"
23298,,"5,49"
23300,,"7,49"
23306,,
23308,,"11,49"
23310,,"28,49"
23312,,"74,49"
23315,,
23317,,"21,49"
23319,,"32,49"
23321,,"80,99"
23326,,
23328,,"6,99"
23330,,"10,49"
23332,,"201,49"
23335,,"10,49"
23338,,"8,99"
23341,,"10,49"
23344,,"11,49"
23349,,
23351,,"7,49"
23353,,"9,49"
23358,,
23360,,"14,99"
23362,,"21,49"
23365,,
23367,,"10,99"
23369,,"39,99"
23375,,
23377,,"6,99"
23379,,"13,99"
23381,,"24,49"
23384,,
23386,,"10,49"
23388,,"21,99"
23390,,"34,49"
23392,,"79,49"
23394,,"125,49"
23396,,"573,99"
23403,,
23405,,"18,49"
23407,,"32,49"
23409,,"53,99"
23411,,"99,99"
23415,,"9,49"
23420,,
23422,,"12,99"
23424,,"39,99"
23427,,"32,99"
23430,,"32,49"
23432,,"21,49"
23435,,
23437,,"0,49"
23439,,"6,99"
23441,,"14,99"
23443,,"21,49"
23447,,
23449,,"7,99"
23451,,"11,49"
23453,,"16,99"
23455,,"25,99"
23458,,
23460,,"7,99"
23462,,"13,49"
23464,,"33,49"
23466,,"78,49"
23469,,
23471,,"3,49"
23473,,"5,49"
23476,,
23478,,"3,49"
23480,,"5,49"
23483,,
23485,,"3,49"
23487,,"5,49"
23489,,"34,49"
23493,,
23495,,"9,99"
23497,,"16,99"
23499,,"26,49"
23501,,"42,49"
23503,,"99,99"
23506,,"32,49"
23510,,
23512,,"6,99"
23514,,"12,99"
23516,,"18,99"
23518,,"37,49"
23522,,
23524,,"4,99"
23526,,"7,49"
23528,,"10,49"
23532,,
23534,,"9,49"
23536,,"16,99"
23538,,"47,99"
23541,,
23543,,"7,99"
23545,,"14,99"
23547,,"28,99"
23549,,"91,99"
23551,,"160,99"
23556,,
23558,,"10,49"
23560,,"13,99"
23562,,"19,49"
23564,,"68,99"
23566,,"217,49"
23571,,
23573,,"6,99"
23575,,"9,49"
23577,,"11,49"
23579,,"20,99"
23582,,"4,49"
23586,,
23588,,"10,99"
23590,,"18,99"
23592,,"51,49"
23595,,"18,99"
23599,,
23601,,"11,49"
23603,,"14,99"
23605,,"29,99"
23607,,"228,99"
23611,,
23613,,"53,99"
23615,,"85,99"
23621,,
23623,,"10,99"
23625,,"18,99"
23627,,"46,99"
23629,,"63,49"
23631,,"125,49"
23633,,"47,99"
23637,,
23639,,"11,49"
23641,,"18,49"
23643,,"25,99"
23646,,
23648,,"7,49"
23650,,"13,99"
23654,,"11,49"
23658,,
23660,,"11,49"
23662,,"27,49"
23664,,"57,49"
23668,,
23670,,"4,49"
23672,,"4,49"
23674,,"12,99"
23677,,"21,49"
23679,,
23681,,"12,99"
23683,,"15,49"
23685,,"21,49"
23687,,"32,49"
23689,,"138,99"
23691,,"256,99"
23693,,
23695,,"18,49"
23697,,"39,99"
23701,,
23703,,"11,99"
23705,,"18,49"
23707,,"28,99"
23709,,
23711,,"13,99"
23713,,"21,49"
23715,,"267,99"
23718,,
23720,,"12,99"
23722,,"18,99"
23725,,"4,99"
23728,,
23730,,"14,99"
23732,,"28,49"
23734,,"50,99"
23736,,"125,49"
23739,,
23741,,"3,49"
23743,,"5,99"
23746,,
23748,,"3,49"
23750,,"5,99"
23752,,"18,49"
23755,,
23757,,"9,49"
23759,,"14,49"
23764,,
23766,,"5,99"
23768,,"10,49"
23770,,"49,49"
23774,,
23776,,"6,99"
23778,,"10,49"
23781,,
23783,,"7,99"
23785,,"11,49"
23787,,"18,49"
23789,,"33,99"
23791,,"51,49"
23793,,"91,49"
23795,,"228,99"
23800,,
23802,,"9,99"
23804,,"13,99"
23806,,"32,49"
23808,,"64,49"
23811,,
23813,,"12,99"
23815,,"18,49"
23817,,"26,99"
23819,,"48,49"
23821,,"75,49"
23823,,"12,99"
23825,,"18,49"
23840,,"10,49"
23847,,"5,99"
23849,,"5,49"
23851,,"14,99"
23853,,"5,99"
23855,,"11,99"
23857,,"5,99"
23859,,"8,99"
23861,,"5,49"
23863,,"4,99"
23865,,"5,49"
23867,,"6,99"
23869,,"10,49"
23871,,"6,49"
23873,,"5,99"
23875,,"5,99"
23877,,"30,99"
23879,,"8,99"
23881,,"7,99"
23883,,"8,99"
23885,,"5,49"
23887,,"5,99"
23889,,"6,99"
23891,,"20,49"
23893,,"5,49"
23910,,"7,99"
23913,,
23915,,"5,99"
23917,,"7,99"
23919,,"20,49"
23922,,"6,49"
23925,,
23927,,"19,49"
23929,,"26,99"
23934,,
23936,,"12,49"
23938,,"18,99"
23940,,"25,99"
23942,,"48,99"
23947,,
23949,,"11,49"
23951,,"17,49"
23953,,"23,99"
23955,,"44,49"
23975,,
23977,,"11,49"
23979,,"17,49"
23981,,"23,99"
23983,,"44,49"
23988,,
23990,,"29,49"
23992,,"74,49"
23994,,"7,99"
23996,,"6,99"
23998,,"7,49"
24000,,"5,49"
24002,,"6,99"
24007,,
24009,,"15,99"
24011,,"23,99"
24013,,"31,99"
24015,,"56,99"
24020,,
24022,,"16,49"
24024,,"23,99"
24026,,"33,99"
24028,,"62,99"
24033,,
24035,,"17,49"
24037,,"44,49"
24042,,
24044,,"11,49"
24046,,"17,49"
24048,,"37,49"
24073,,"11,49"
24078,,
24081,,"23,99"
24083,,"56,99"
24086,,
24088,,"5,99"
24090,,"9,49"
24092,,"11,49"
24094,,"20,99"
24096,,"102,99"
24099,,
24101,,"11,49"
24103,,"33,99"
24106,,"8,99"
24109,,
24111,,"5,99"
24113,,"7,99"
24118,,
24120,,"17,49"
24122,,"37,49"
24127,,
24129,,"23,99"
24131,,"62,99"
24135,,
24137,,"12,99"
24139,,"22,99"
24141,,"33,49"
24162,,
24164,,"11,49"
24166,,"20,49"
24170,,"17,49"
24173,,
24175,,"6,99"
24177,,"12,99"
24179,,"14,99"
24181,,"21,99"
24183,,
24185,,"4,99"
24187,,"9,49"
24191,,
24193,,"11,49"
24195,,"16,99"
24197,,"37,49"
24219,,
24221,,"11,49"
24224,,"16,99"
24226,,"37,49"
24229,,
24231,,"9,49"
24233,,"10,99"
24235,,"15,99"
24237,,"28,49"
24242,,
24244,,"32,99"
24246,,"91,49"
24249,,
24251,,"7,99"
24253,,"13,49"
24255,,"24,49"
24257,,"41,49"
24259,,"68,99"
24262,,
24264,,"10,49"
24266,,"13,49"
24269,,
24271,,"10,49"
24273,,"13,49"
24277,,
24279,,"11,49"
24281,,"16,99"
24283,,"37,49"
24304,,
24306,,"10,99"
24308,,"15,99"
24312,,"11,49"
24314,,"7,49"
24320,,
24322,,"4,99"
24324,,"6,99"
24326,,"7,99"
24328,,"11,49"
24330,,"15,99"
24334,,
24336,,"11,49"
24338,,"16,99"
24340,,"37,49"
24342,,"74,49"
24344,,
24346,,"9,99"
24348,,"13,49"
24350,,"35,99"
24352,,"135,49"
24354,,
24356,,"6,99"
24358,,"16,49"
24360,,
24362,,"11,99"
24364,,"16,49"
24366,,"67,99"
24368,,"201,99"
24388,,
24390,,"11,99"
24392,,"19,49"
24395,,
24397,,"11,99"
24399,,"15,49"
24402,,
24404,,"16,49"
24406,,"24,99"
24409,,
24411,,"11,99"
24413,,"16,49"
24415,,"57,99"
24418,,
24420,,"9,99"
24422,,"13,49"
24424,,"9,99"
24426,,"16,49"
24428,,"11,99"
24430,,"11,99"
24432,,"11,99"
24434,,"17,49"
24436,,"16,49"
24438,,"12,99"
24442,,
24444,,"6,99"
24446,,"8,99"
24448,,"10,49"
24452,,"10,49"
24455,,"8,99"
24457,,"4,49"
24460,,
24462,,"6,99"
24464,,"11,49"
24466,,"22,99"
24487,,
24489,,"9,49"
24491,,"16,99"
24496,,"10,49"
